iter	Logloss
0	0.6619716021
1	0.6349844367
2	0.6070160663
3	0.5863682962
4	0.5588182283
5	0.5382922213
6	0.5185233507
7	0.497839294
8	0.4785998385
9	0.46330053
10	0.4489242929
11	0.4354423506
12	0.4199549869
13	0.4082203978
14	0.3964364822
15	0.3846822649
16	0.3732461609
17	0.3634986963
18	0.3513393189
19	0.342443991
20	0.3318568833
21	0.3226021376
22	0.3119956066
23	0.3042189152
24	0.2974488602
25	0.2913080681
26	0.2843167776
27	0.2767244719
28	0.2708252431
29	0.2657062095
30	0.2612700836
31	0.25670704
32	0.2509801468
33	0.2467300108
34	0.2423133935
35	0.2381477612
36	0.2331618068
37	0.2301595632
38	0.2259636693
39	0.2217324276
40	0.2190842596
41	0.2164436699
42	0.2142904055
43	0.2106892289
44	0.2084199193
45	0.20589517
46	0.2029465029
47	0.2008379567
48	0.198286752
49	0.1966540104
50	0.1949878326
51	0.193426145
52	0.1916761633
53	0.1895968546
54	0.1877804955
55	0.1865852236
56	0.1853047313
57	0.1839676074
58	0.1829337988
59	0.1817278425
60	0.1805013704
61	0.1791409998
62	0.1781024293
63	0.177154541
64	0.1758366015
65	0.1750172523
66	0.1738213831
67	0.1724653479
68	0.1708909788
69	0.1698449837
70	0.1685651911
71	0.1678020298
72	0.16703298
73	0.1662292139
74	0.1653023876
75	0.1648412444
76	0.1640206663
77	0.1636436514
78	0.1626385853
79	0.1619635972
80	0.1613163276
81	0.1607891313
82	0.1603343033
83	0.1597638909
84	0.1593420041
85	0.1582979207
86	0.1574951957
87	0.1567384519
88	0.1565169093
89	0.1558115232
90	0.1553283623
91	0.1549129614
92	0.154362382
93	0.1540400529
94	0.1538247059
95	0.1534937916
96	0.15318539
97	0.1526451025
98	0.1521886702
99	0.1515415883
100	0.1510210827
101	0.1505404991
102	0.1502833526
103	0.1498868801
104	0.1495924913
105	0.1491684882
106	0.148694783
107	0.1482761904
108	0.1478876033
109	0.1474852423
110	0.1474033159
111	0.1470523638
112	0.1465273522
113	0.1462691817
114	0.1459606094
115	0.1457148132
116	0.1454205097
117	0.1449861462
118	0.1444969775
119	0.1441670531
120	0.1437100745
121	0.1432578409
122	0.1429096026
123	0.142628083
124	0.1424527947
125	0.1421469533
126	0.1416845471
127	0.141386574
128	0.1411500799
129	0.1409245775
130	0.1406450549
131	0.1403759097
132	0.1400867351
133	0.1397902896
134	0.1395270328
135	0.1392586727
136	0.1388699491
137	0.1384314979
138	0.1381502941
139	0.1379069301
140	0.1377686707
141	0.1375037584
