iter	Logloss
0	0.6617064355
1	0.6329745836
2	0.6035513383
3	0.581206081
4	0.5529747532
5	0.5307411746
6	0.5094471911
7	0.4881957888
8	0.4685140412
9	0.4499388096
10	0.4352643336
11	0.4197124026
12	0.404100392
13	0.3919856898
14	0.3800945245
15	0.3682851176
16	0.3568144498
17	0.3462649232
18	0.3347802209
19	0.3257372235
20	0.3151799331
21	0.3059093976
22	0.2962406405
23	0.2885046136
24	0.2817283078
25	0.2756307046
26	0.2688909781
27	0.2617462218
28	0.2559477625
29	0.251127956
30	0.2467788129
31	0.2421925912
32	0.2368863697
33	0.2327830544
34	0.2284676389
35	0.2243823595
36	0.2198862274
37	0.2170358199
38	0.2131813184
39	0.2092340548
40	0.2062185776
41	0.203340355
42	0.2012769845
43	0.1979967031
44	0.1957368496
45	0.1932497864
46	0.1908742528
47	0.1888502087
48	0.1865914899
49	0.1851343801
50	0.1834877149
51	0.1819774531
52	0.1803150065
53	0.1784915513
54	0.1767851648
55	0.1757694401
56	0.174643231
57	0.1732456931
58	0.1716711414
59	0.1704754764
60	0.1693803373
61	0.1684584198
62	0.1674262717
63	0.16633061
64	0.1654446148
65	0.1643433991
66	0.1634040131
67	0.1627712362
68	0.1620207486
69	0.1611431443
70	0.1604911968
71	0.1595832242
72	0.1588582974
73	0.1580984336
74	0.15774136
75	0.1568611727
76	0.1561078932
77	0.1555098741
78	0.1547142522
79	0.1543686003
80	0.1536997517
81	0.153243272
82	0.1526148399
83	0.1520463977
84	0.1516222571
85	0.151024462
86	0.1503244837
87	0.1496651009
88	0.1494587788
89	0.1487949319
90	0.1484090279
91	0.1480779778
92	0.1475929962
93	0.1471364419
94	0.1468012711
95	0.1463383117
96	0.1460792407
97	0.1456416628
98	0.145276064
99	0.1447594152
100	0.1443354687
101	0.143968556
102	0.143639223
103	0.143257813
104	0.1428572623
105	0.1424668344
106	0.1420385282
107	0.1417663186
108	0.1414964082
109	0.1411682248
110	0.1409333559
111	0.1407036977
112	0.1404669178
113	0.1403729762
114	0.1400639036
115	0.1397662377
116	0.1395393267
117	0.1392708198
118	0.1390714552
119	0.1388543534
120	0.1386030462
121	0.138410236
122	0.1381669912
123	0.1378967823
124	0.1376319034
125	0.1372777114
126	0.137016595
127	0.1367958502
128	0.1364945712
129	0.1362018324
130	0.1360179655
131	0.1358099114
132	0.1355349845
133	0.135454734
134	0.1352257178
135	0.1349001771
136	0.1346405686
137	0.1344095368
138	0.1342058574
139	0.1341077054
140	0.1338816604
141	0.1336680373
142	0.1334826923
143	0.1333220719
144	0.1331726642
145	0.1329805109
146	0.1327738006
147	0.1324652058
148	0.1323444195
149	0.1321044593
150	0.1318806389
151	0.1317118367
152	0.1315312544
153	0.1313346071
154	0.131081583
155	0.1308380694
156	0.130678091
157	0.1304786219
158	0.1303120742
159	0.1301759843
160	0.129978695
161	0.1298721373
162	0.1297191015
163	0.1295841165
164	0.1294630913
165	0.1292715353
166	0.1291261139
167	0.1289374842
168	0.1287936754
169	0.128591907
170	0.1283881678
171	0.1282722488
172	0.1281016699
173	0.1279432442
174	0.1277026421
175	0.1275874696
176	0.1274326272
177	0.1272864295
178	0.1271881283
179	0.1270230288
180	0.1269080056
181	0.126782128
182	0.1266540109
183	0.126492644
184	0.1263871314
185	0.1262909951
186	0.1261468876
187	0.1259455672
188	0.1257411561
189	0.1255994076
190	0.1254924916
191	0.1252655656
192	0.125133395
193	0.1250648872
194	0.1249230641
195	0.1248275697
196	0.1246748549
197	0.1245002747
198	0.1244250632
199	0.1243328983
200	0.124239315
201	0.1241026578
202	0.1239320639
203	0.1238494097
204	0.1236764941
205	0.1235310206
206	0.1233909293
207	0.1232957187
208	0.123096048
209	0.1230540341
210	0.1229287463
211	0.1227988824
212	0.122595494
213	0.1224448396
214	0.1223589455
215	0.1222909976
216	0.1221600213
217	0.1220765086
218	0.1219192624
219	0.121741293
220	0.1216216115
221	0.1214815576
222	0.1212801551
223	0.1212114308
224	0.1210744003
225	0.120918147
226	0.1207258967
227	0.120612695
228	0.1205090338
229	0.1204379729
230	0.1203048019
231	0.120134014
232	0.1200184533
233	0.1199035047
234	0.1197308953
235	0.1196824837
236	0.1195407054
237	0.1193733514
238	0.1192926381
239	0.1191730985
240	0.1190145086
241	0.1188951481
242	0.1187929053
243	0.1186736642
244	0.1185230621
245	0.1184015815
246	0.1183075429
247	0.1181899218
248	0.1181071033
249	0.1180248447
250	0.1179088436
251	0.1178561321
252	0.1177937607
253	0.117657402
254	0.1175357199
255	0.1174360525
256	0.1173381693
257	0.1171838719
258	0.1170795239
259	0.11698609
260	0.1168428708
261	0.1167361564
262	0.1165789102
263	0.1165011083
264	0.1163926022
265	0.11621576
266	0.1161423401
267	0.1160523626
268	0.1158869719
269	0.1157451115
270	0.1155997498
271	0.1154609128
272	0.1153255843
273	0.1152661467
274	0.115159477
275	0.1151001066
276	0.1150036567
277	0.114860251
278	0.1147568585
279	0.1146501515
280	0.1145731036
281	0.1144898148
282	0.1144020394
283	0.1143392574
284	0.1141891554
285	0.1141012009
286	0.1139393487
287	0.1138249825
288	0.1137387673
289	0.1136327023
290	0.113539985
291	0.1134625638
292	0.1132915071
293	0.1131761779
294	0.1131184498
295	0.1130482623
296	0.1129195555
297	0.112771708
298	0.1127286191
299	0.1126722272
300	0.1126133719
301	0.112525925
302	0.1124009582
303	0.1123349363
304	0.1122808587
305	0.1122328204
306	0.1121410661
307	0.1120529921
308	0.1119586101
309	0.1118491858
310	0.1116964113
311	0.111575401
312	0.1113870251
313	0.1112298611
314	0.1111139047
315	0.111005645
316	0.1108966163
317	0.110755689
318	0.1106974533
319	0.110663763
320	0.1105904178
321	0.1104582098
322	0.1103861411
323	0.110259532
324	0.1101840965
325	0.1100880796
326	0.1099758708
327	0.1098453051
328	0.1097643903
329	0.1097067965
330	0.1096228508
331	0.1095678998
332	0.1094797735
333	0.1094151999
334	0.1093385178
335	0.1091005956
336	0.1089876328
337	0.1089347272
338	0.1088497886
339	0.1087592885
340	0.1086885411
341	0.1086088132
342	0.1085546759
343	0.1084927747
344	0.1084159284
345	0.1083398808
346	0.1082509558
347	0.1081367015
348	0.108049053
349	0.1079687652
350	0.1078316228
351	0.1076846636
352	0.1075987844
353	0.1075011699
354	0.107326851
355	0.1072386277
356	0.1071145567
357	0.1070395916
358	0.1069296521
359	0.10687064
360	0.1068074027
361	0.1066759263
362	0.1066265815
363	0.1065806932
364	0.1065328863
365	0.1064239995
366	0.1063139854
367	0.1061640551
368	0.1060533094
369	0.1059038868
370	0.1057606229
371	0.105588648
372	0.1054763197
373	0.1054097752
374	0.1052832482
375	0.1051927481
376	0.105163843
377	0.1050522388
378	0.1050089857
379	0.1048333827
380	0.1046843183
381	0.1045865546
382	0.1044984657
383	0.1043290588
384	0.1042896726
385	0.1041734326
386	0.1040834998
387	0.1039828694
388	0.103866174
389	0.1038118874
390	0.1037870583
391	0.1037458207
392	0.1035549515
393	0.1034509767
394	0.1034191677
395	0.1034069472
396	0.1033092656
397	0.1031938467
398	0.1031323338
399	0.1030680811
400	0.1029643975
401	0.1028860283
402	0.10281387
403	0.102759882
404	0.1026775636
405	0.1025984105
406	0.1024548256
407	0.1024069515
